web-scraper-order,web-scraper-start-url,link,link-href,product_name,customer_info,product_star,page2,page2-href,product_sales,product_like,product_price,page3,page3-href,page4,page4-href,page5,page5-href,product_popular,product_target
"1662122920-167354","https://www.musinsa.com/category/020008","","https://www.musinsa.com/app/goods/2719618","셔츠매칭뷔스티에원피스(2colors)_ RMOWC49RT1","","null","","","","58","129,000원","","","","","","","","여"
"1662123010-167387","https://www.musinsa.com/category/020008","","https://www.musinsa.com/app/goods/2739486","ROSE DRESS (2 COLORS)","","null","","","","4","148,000원","","","","","","","","여"
"1662122951-167366","https://www.musinsa.com/category/020008","","https://www.musinsa.com/app/goods/2720254","와이드돔 오버롤 스커트 WDS-611 인디고 데님 BRS","","null","","","","20","98,000원","","","","","","","","여"
"1662122878-167339","https://www.musinsa.com/category/020008","","https://www.musinsa.com/app/goods/2736014","졸린 드레스 (MUL) AYMF2231TAC-MUL","","null","","","","0","478,000원","","","","","","","","여"
"1662122853-167330","https://www.musinsa.com/category/020008","","https://www.musinsa.com/app/goods/2712333","STITCH POCKET ONEPIECE / NAVY","[회원추천] (여자 170cm/60kg) 기준

                                적당함 NAVY FREE Size 구매","5","","","","68","149,000원","","","","","","","","여"
"1662122898-167346","https://www.musinsa.com/category/020008","","https://www.musinsa.com/app/goods/2733537","Rose Wappen Stripe Dress - Navy","","null","","","","10","120,000원","","","","","","","","여"
"1662123036-167396","https://www.musinsa.com/category/020008","","https://www.musinsa.com/app/goods/2740041","하트스토퍼 롱 드레스 블랙","","null","","","","2","168,000원","","","","","","","","여"
"1662122964-167371","https://www.musinsa.com/category/020008","","https://www.musinsa.com/app/goods/2728439","Wrap Flare Dress - Sky Blue","","null","","","","1","165,000원","","","","","","","","여"
"1662122911-167351","https://www.musinsa.com/category/020008","","https://www.musinsa.com/app/goods/2716653","22 SUMMER 절개 핀턱 원피스 (민트)","","null","","","","5","76,000원","","","","","","","","여"
"1662123097-167417","https://www.musinsa.com/category/020008","","https://www.musinsa.com/app/goods/2755085","Page Unbal Shirt Ops Black","","null","","","","0","157,000원","","","","","","","","여"
"1662123004-167385","https://www.musinsa.com/category/020008","","https://www.musinsa.com/app/goods/2740311","메리노울 케이블 롱 드레스 아이보리","","null","","","","0","188,000원","","","","","","","","여"
"1662123043-167398","https://www.musinsa.com/category/020008","","https://www.musinsa.com/app/goods/2742938","Mary retro vintage large square neck long dress","","null","","","","30","189,000원","","","","","","","","여"
"1662123048-167400","https://www.musinsa.com/category/020008","","https://www.musinsa.com/app/goods/2742953","Mary vintage waist-cinching slim flowing long dress","","null","","","","15","189,000원","","","","","","","","여"
"1662122927-167357","https://www.musinsa.com/category/020008","","https://www.musinsa.com/app/goods/2717559","베이지 레이온 레이어드 원피스 (322871LY4A)","","null","","","","0","59,900원","","","","","","","","여"
"1662122869-167336","https://www.musinsa.com/category/020008","","https://www.musinsa.com/app/goods/2733556","Rose Wappen Dress - Melange Grey","","null","","","","8","109,000원","","","","","","","","여"
"1662123076-167410","https://www.musinsa.com/category/020008","","https://www.musinsa.com/app/goods/2750105","YY_bluish slim maxi coat dress","","null","","","","4","259,000원","","","","","","","","여"
"1662122883-167341","https://www.musinsa.com/category/020008","","https://www.musinsa.com/app/goods/2732837","백 리본타이 플리츠 원피스 SWOPMI0200","","null","","","","6","249,000원","","","","","","","","여"
"1662122938-167361","https://www.musinsa.com/category/020008","","https://www.musinsa.com/app/goods/2720255","와이드돔 오버롤 스커트 WDS-611 블랙 데님 BRS","","null","","","","19","98,000원","","","","","","","","여"
"1662122856-167331","https://www.musinsa.com/category/020008","","https://www.musinsa.com/app/goods/2733557","Rose Wappen Dress - Navy","","null","","","","3","109,000원","","","","","","","","여"
"1662123085-167413","https://www.musinsa.com/category/020008","","https://www.musinsa.com/app/goods/2748674","Lace Point Chiffon Long Dress_Ivory","","null","","","","9","218,000원","","","","","","","","여"
"1662123031-167394","https://www.musinsa.com/category/020008","","https://www.musinsa.com/app/goods/2740009","스카프 넥 롱 드레스 블랙","","null","","","","5","168,000원","","","","","","","","여"
"1662123040-167397","https://www.musinsa.com/category/020008","","https://www.musinsa.com/app/goods/2739993","퍼플 레인 롱 드레스","","null","","","","3","215,000원","","","","","","","","여"
"1662122986-167378","https://www.musinsa.com/category/020008","","https://www.musinsa.com/app/goods/2732593","Raya Puff Long Sleeve Midi Dress _ 3 colors","","null","","","","31","179,000원","","","","","","","","여"
"1662122971-167374","https://www.musinsa.com/category/020008","","https://www.musinsa.com/app/goods/2730936","Open-collar Shirring Dress [Cream Beige]","","null","","","","1","285,000원","","","","","","","","여"
"1662122996-167382","https://www.musinsa.com/category/020008","","https://www.musinsa.com/app/goods/2732582","Jolie Printed Brown Slip Dress","","null","","","","11","139,000원","","","","","","","","여"
"1662122946-167364","https://www.musinsa.com/category/020008","","https://www.musinsa.com/app/goods/2720257","와이드돔 오버롤 스커트 WDS-611 라이트카키","","null","","","","5","98,000원","","","","","","","","여"
"1662122872-167337","https://www.musinsa.com/category/020008","","https://www.musinsa.com/app/goods/2724988","셔링포인트 후드 롱원피스 네이비","","null","","","","7","113,000원","","","","","","","","여"
"1662123082-167412","https://www.musinsa.com/category/020008","","https://www.musinsa.com/app/goods/2748777","Round Neck Lace Point Chiffon Long Dress_Beige","","null","","","","3","198,000원","","","","","","","","여"
"1662122993-167381","https://www.musinsa.com/category/020008","","https://www.musinsa.com/app/goods/2732605","Marley Embroidered Purple Midi Dress","","null","","","","17","198,000원","","","","","","","","여"
"1662122875-167338","https://www.musinsa.com/category/020008","","https://www.musinsa.com/app/goods/2724981","셔링포인트 후드 롱원피스 그레이","","null","","","","14","113,000원","","","","","","","","여"
"1662122944-167363","https://www.musinsa.com/category/020008","","https://www.musinsa.com/app/goods/2750774","LIP 리버시블 맥시 드레스 아이보리","","null","","","","0","143,000원","","","","","","","","여"
